class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-104.097,77.0973,-3.90234,-90.8204,93.196,22.2102,-76.8357,95.4295,47.8489,-64.0102,102.495,51.0518,-52.5863,106.365,46.1725
1,-104.098,77.102,-3.87342,-90.8073,93.1997,22.2392,-76.8338,95.4466,47.8467,-64.0072,102.495,51.0608,-52.5811,106.364,46.1869
1,-104.098,77.1038,-3.85959,-90.8039,93.2006,22.2472,-76.8333,95.4518,47.8464,-64.0063,102.495,51.0638,-52.5794,106.363,46.1918
1,-104.099,77.1053,-3.84579,-90.8018,93.2013,22.2524,-76.8331,95.4558,47.8463,-64.0058,102.495,51.0655,-52.5786,106.363,46.1944
1,-104.101,77.1069,-3.82814,-90.7979,93.2025,22.2622,-76.8329,95.4599,47.8461,-64.0055,102.495,51.0665,-52.5782,106.363,46.1958
1,-104.103,77.1091,-3.80193,-90.7773,93.2086,22.3143,-76.8326,95.4714,47.8455,-64.0053,102.495,51.0674,-52.5779,106.363,46.1967
1,-104.106,77.1105,-3.78339,-90.7581,93.2144,22.3632,-76.8325,95.4833,47.8447,-64.0051,102.495,51.068,-52.5778,106.363,46.1972
1,-104.114,77.1105,-3.69927,-90.6997,93.2276,22.5146,-76.8332,95.5154,47.8416,-64.0041,102.495,51.0724,-52.5771,106.363,46.2001
1,-104.157,77.1165,-3.4844,-90.6108,93.2435,22.7789,-76.8426,95.5731,47.8379,-64.0001,102.493,51.0942,-52.5735,106.361,46.2175
1,-104.277,77.1485,-3.10916,-90.5065,93.2673,23.1325,-76.87,95.6642,47.8244,-63.9936,102.487,51.1464,-52.567,106.355,46.2603
1,-104.366,77.1117,-2.57013,-90.352,93.2648,23.577,-76.8862,95.7596,47.8198,-63.9731,102.469,51.2431,-52.5489,106.341,46.3389
1,-104.455,77.0291,-1.849,-90.1713,93.2555,24.0651,-76.8988,95.8596,47.8088,-63.9475,102.447,51.3595,-52.5236,106.322,46.4417
1,-104.515,77.0071,-1.41809,-90.0673,93.2691,24.3193,-76.9044,95.9302,47.7789,-63.9334,102.441,51.4218,-52.5079,106.314,46.4997
1,-104.537,77.005,-1.24649,-90.0054,93.2881,24.4471,-76.9069,95.9818,47.7435,-63.9237,102.441,51.4621,-52.4987,106.31,46.5301
1,-104.544,77.0109,-1.19104,-89.964,93.3084,24.5153,-76.9082,96.0241,47.7045,-63.9156,102.448,51.4915,-52.4921,106.311,46.5488
1,-104.552,77.0315,-1.17377,-89.9313,93.3305,24.5571,-76.9079,96.0618,47.6644,-63.908,102.456,51.5085,-52.487,106.311,46.5585
1,-104.553,77.046,-1.17806,-89.9072,93.349,24.5778,-76.907,96.0915,47.6284,-63.9018,102.465,51.5159,-52.4833,106.313,46.5633
1,-104.552,77.0564,-1.18926,-89.8914,93.3616,24.5865,-76.9061,96.1114,47.6016,-63.8975,102.473,51.5179,-52.4806,106.314,46.5655
1,-104.549,77.0659,-1.20179,-89.8813,93.3694,24.5902,-76.9052,96.1241,47.5838,-63.8946,102.477,51.5182,-52.4786,106.315,46.5665
1,-104.547,77.0721,-1.20935,-89.8773,93.3727,24.5914,-76.9048,96.1295,47.5764,-63.8936,102.479,51.5181,-52.4778,106.316,46.5669
